Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
151585	61017	-4.413086	  421	0.411133
151815	61002	-4.427734	  179	0.174805
152045	60999	-4.430664	65479	-0.055664
152275	61007	-4.422852	65250	-0.279297
152505	61026	-4.404297	65027	-0.497070
152735	61056	-4.375000	64808	-0.710938
152965	61097	-4.334961	64592	-0.921875
153195	61149	-4.284180	64377	-1.131836
153425	61212	-4.222656	64161	-1.342773
153655	61285	-4.151367	63944	-1.554688
153885	61369	-4.069336	63725	-1.768555
154115	61464	-3.976562	63504	-1.984375
154345	61570	-3.873047	63283	-2.200195
154575	61687	-3.758789	63065	-2.413086
154805	61815	-3.633789	62853	-2.620117
155035	61953	-3.499023	62649	-2.819336
155265	62101	-3.354492	62456	-3.007812
155495	62259	-3.200195	62276	-3.183594
155725	62425	-3.038086	62110	-3.345703
155955	62599	-2.868164	61959	-3.493164
156185	62780	-2.691406	61823	-3.625977
156415	62968	-2.507812	61701	-3.745117
156645	63161	-2.319336	61593	-3.850586
156875	63359	-2.125977	61498	-3.943359
157105	63562	-1.927734	61415	-4.024414
157335	63769	-1.725586	61343	-4.094727
157565	63979	-1.520508	61282	-4.154297
157795	64192	-1.312500	61231	-4.204102
158025	64407	-1.102539	61190	-4.244141
158255	64624	-0.890625	61159	-4.274414
158485	64842	-0.677734	61137	-4.295898
158715	65061	-0.463867	61124	-4.308594
158945	65280	-0.250000	61120	-4.312500
159175	65499	-0.036133	61125	-4.307617
159405	  182	0.177734	61140	-4.292969
159635	  400	0.390625	61164	-4.269531
159865	  616	0.601562	61198	-4.236328
160095	  831	0.811523	61242	-4.193359
160325	 1043	1.018555	61297	-4.139648
160555	 1252	1.222656	61363	-4.075195
160785	 1458	1.423828	61441	-3.999023
161015	 1659	1.620117	61531	-3.911133
161245	 1856	1.812500	61634	-3.810547
161475	 2047	1.999023	61750	-3.697266
161705	 2232	2.179688	61879	-3.571289
161935	 2410	2.353516	62022	-3.431641
162165	 2581	2.520508	62179	-3.278320
162395	 2744	2.679688	62348	-3.113281
162625	 2898	2.830078	62529	-2.936523
162855	 3043	2.971680	62719	-2.750977
163085	 3178	3.103516	62916	-2.558594
163315	 3303	3.225586	63118	-2.361328
163545	 3418	3.337891	63322	-2.162109
163775	 3523	3.440430	63525	-1.963867
164005	 3618	3.533203	63726	-1.767578
164235	 3703	3.616211	63925	-1.573242
164465	 3778	3.689453	64121	-1.381836
164695	 3843	3.752930	64314	-1.193359
164925	 3899	3.807617	64507	-1.004883
165155	 3945	3.852539	64700	-0.816406
165385	 3981	3.887695	64896	-0.625000
165615	 4007	3.913086	65096	-0.429688
165845	 4023	3.928711	65301	-0.229492
166075	 4029	3.934570	65512	-0.023438
166305	 4024	3.929688	  193	0.188477
166535	 4008	3.914062	  415	0.405273
166765	 3981	3.887695	  639	0.624023
166995	 3943	3.850586	  863	0.842773
167225	 3894	3.802734	 1083	1.057617
167455	 3834	3.744141	 1297	1.266602
167685	 3764	3.675781	 1502	1.466797
167915	 3684	3.597656	 1697	1.657227
168145	 3594	3.509766	 1881	1.836914
168375	 3495	3.413086	 2055	2.006836
168605	 3388	3.308594	 2218	2.166016
168835	 3273	3.196289	 2372	2.316406
169065	 3151	3.077148	 2519	2.459961
169295	 3021	2.950195	 2659	2.596680
169525	 2885	2.817383	 2794	2.728516
169755	 2742	2.677734	 2924	2.855469
169985	 2593	2.532227	 3051	2.979492
170215	 2437	2.379883	 3175	3.100586
170445	 2275	2.221680	 3297	3.219727
170675	 2107	2.057617	 3416	3.335938
170905	 1933	1.887695	 3532	3.449219
171135	 1754	1.712891	 3645	3.559570
171365	 1569	1.532227	 3754	3.666016
171595	 1379	1.346680	 3858	3.767578
171825	 1184	1.156250	 3955	3.862305
172055	  984	0.960938	 4045	3.950195
172285	  780	0.761719	 4127	4.030273
172515	  572	0.558594	 4199	4.100586
172745	  361	0.352539	 4260	4.160156
172975	  147	0.143555	 4310	4.208984
173205	65467	-0.067383	 4348	4.246094
173435	65249	-0.280273	 4373	4.270508
173665	65030	-0.494141	 4385	4.282227
173895	64811	-0.708008	 4384	4.281250
174125	64592	-0.921875	 4370	4.267578
174355	64374	-1.134766	 4344	4.242188
174585	64158	-1.345703	 4306	4.205078
174815	63944	-1.554688	 4256	4.156250
175045	63733	-1.760742	 4196	4.097656
175275	63525	-1.963867	 4125	4.028320
175505	63321	-2.163086	 4045	3.950195
175735	63121	-2.358398	 3957	3.864258
175965	62926	-2.548828	 3862	3.771484
176195	62736	-2.734375	 3761	3.672852
176425	62551	-2.915039	 3654	3.568359
176655	62371	-3.090820	 3542	3.458984
176885	62197	-3.260742	 3425	3.344727
177115	62029	-3.424805	 3304	3.226562
177345	61867	-3.583008	 3178	3.103516
177575	61711	-3.735352	 3047	2.975586
177805	61562	-3.880859	 2910	2.841797
178035	61420	-4.019531	 2766	2.701172
178265	61285	-4.151367	 2614	2.552734
178495	61158	-4.275391	 2452	2.394531
178725	61040	-4.390625	 2280	2.226562
178955	60930	-4.498047	 2096	2.046875
179185	60830	-4.595703	 1900	1.855469
179415	60740	-4.683594	 1691	1.651367
179645	60661	-4.760742	 1470	1.435547
179875	60593	-4.827148	 1239	1.209961
180105	60537	-4.881836	 1000	0.976562
180335	60493	-4.924805	  757	0.739258
180565	60461	-4.956055	  512	0.500000
180795	60441	-4.975586	  269	0.262695
181025	60433	-4.983398	   30	0.029297
181255	60437	-4.979492	65333	-0.198242
181485	60452	-4.964844	65105	-0.420898
181715	60479	-4.938477	64881	-0.639648
181945	60517	-4.901367	64659	-0.856445
182175	60566	-4.853516	64437	-1.073242
182405	60626	-4.794922	64214	-1.291016
182635	60697	-4.725586	63988	-1.511719
182865	60779	-4.645508	63759	-1.735352
183095	60873	-4.553711	63528	-1.960938
183325	60978	-4.451172	63296	-2.187500
183555	61095	-4.336914	63065	-2.413086
183785	61223	-4.211914	62839	-2.633789
184015	61362	-4.076172	62621	-2.846680
184245	61512	-3.929688	62413	-3.049805
184475	61672	-3.773438	62218	-3.240234
184705	61841	-3.608398	62037	-3.416992
184935	62019	-3.434570	61870	-3.580078
185165	62205	-3.252930	61717	-3.729492
185395	62398	-3.064453	61578	-3.865234
185625	62598	-2.869141	61451	-3.989258
185855	62804	-2.667969	61336	-4.101562
186085	63015	-2.461914	61231	-4.204102
186315	63231	-2.250977	61136	-4.296875
186545	63452	-2.035156	61049	-4.381836
186775	63677	-1.815430	60971	-4.458008
187005	63906	-1.591797	60900	-4.527344
187235	64138	-1.365234	60837	-4.588867
187465	64373	-1.135742	60781	-4.643555
187695	64611	-0.903320	60732	-4.691406
187925	64851	-0.668945	60690	-4.732422
188155	65093	-0.432617	60655	-4.766602
188385	65336	-0.195312	60627	-4.793945
188615	   45	0.043945	60606	-4.814453
188845	  290	0.283203	60592	-4.828125
189075	  536	0.523438	60586	-4.833984
189305	  782	0.763672	60588	-4.832031
189535	 1028	1.003906	60598	-4.822266
189765	 1273	1.243164	60616	-4.804688
189995	 1517	1.481445	60643	-4.778320
190225	 1759	1.717773	60679	-4.743164
190455	 1999	1.952148	60724	-4.699219
190685	 2237	2.184570	60778	-4.646484
190915	 2472	2.414062	60842	-4.583984
191145	 2704	2.640625	60917	-4.510742
191375	 2932	2.863281	61003	-4.426758
191605	 3155	3.081055	61100	-4.332031
191835	 3373	3.293945	61210	-4.224609
192065	 3585	3.500977	61333	-4.104492
192295	 3791	3.702148	61470	-3.970703
192525	 3989	3.895508	61623	-3.821289
192755	 4179	4.081055	61792	-3.656250
192985	 4361	4.258789	61977	-3.475586
193215	 4533	4.426758	62178	-3.279297
193445	 4695	4.584961	62394	-3.068359
193675	 4845	4.731445	62624	-2.843750
193905	 4984	4.867188	62865	-2.608398
194135	 5110	4.990234	63113	-2.366211
194365	 5224	5.101562	63365	-2.120117
194595	 5325	5.200195	63618	-1.873047
194825	 5414	5.287109	63871	-1.625977
195055	 5490	5.361328	64122	-1.380859
195285	 5554	5.423828	64373	-1.135742
195515	 5605	5.473633	64625	-0.889648
195745	 5644	5.511719	64880	-0.640625
195975	 5670	5.537109	65140	-0.386719
196205	 5683	5.549805	65407	-0.125977
196435	 5682	5.548828	  145	0.141602
196665	 5667	5.534180	  425	0.415039
196895	 5638	5.505859	  709	0.692383
197125	 5595	5.463867	  992	0.968750
197355	 5538	5.408203	 1271	1.241211
197585	 5467	5.338867	 1543	1.506836
197815	 5383	5.256836	 1806	1.763672
198045	 5286	5.162109	 2058	2.009766
198275	 5177	5.055664	 2301	2.247070
198505	 5056	4.937500	 2536	2.476562
198735	 4923	4.807617	 2765	2.700195
198965	 4779	4.666992	 2990	2.919922
199195	 4624	4.515625	 3212	3.136719
199425	 4458	4.353516	 3432	3.351562
199655	 4281	4.180664	 3650	3.564453
199885	 4093	3.997070	 3865	3.774414
200115	 3895	3.803711	 4075	3.979492
200345	 3686	3.599609	 4277	4.176758
200575	 3468	3.386719	 4469	4.364258
200805	 3240	3.164062	 4648	4.539062
201035	 3004	2.933594	 4811	4.698242
201265	 2760	2.695312	 4958	4.841797
201495	 2509	2.450195	 5087	4.967773
201725	 2252	2.199219	 5197	5.075195
201955	 1990	1.943359	 5288	5.164062
202185	 1724	1.683594	 5361	5.235352
202415	 1455	1.420898	 5416	5.289062
202645	 1184	1.156250	 5453	5.325195
202875	  911	0.889648	 5472	5.343750
203105	  638	0.623047	 5474	5.345703
203335	  365	0.356445	 5458	5.330078
203565	   93	0.090820	 5425	5.297852
203795	65359	-0.172852	 5375	5.249023
204025	65092	-0.433594	 5308	5.183594
204255	64829	-0.690430	 5224	5.101562
204485	64571	-0.942383	 5124	5.003906
204715	64318	-1.189453	 5008	4.890625
204945	64071	-1.430664	 4876	4.761719
205175	63831	-1.665039	 4730	4.619141
205405	63599	-1.891602	 4572	4.464844
205635	63375	-2.110352	 4403	4.299805
205865	63159	-2.321289	 4226	4.126953
206095	62953	-2.522461	 4043	3.948242
206325	62756	-2.714844	 3856	3.765625
206555	62568	-2.898438	 3666	3.580078
206785	62390	-3.072266	 3475	3.393555
207015	62221	-3.237305	 3284	3.207031
207245	62062	-3.392578	 3092	3.019531
207475	61912	-3.539062	 2898	2.830078
207705	61772	-3.675781	 2700	2.636719
207935	61642	-3.802734	 2497	2.438477
208165	61522	-3.919922	 2287	2.233398
208395	61413	-4.026367	 2069	2.020508
208625	61315	-4.122070	 1841	1.797852
208855	61229	-4.206055	 1603	1.565430
209085	61155	-4.278320	 1356	1.324219
209315	61093	-4.338867	 1102	1.076172
209545	61044	-4.386719	  844	0.824219
209775	61008	-4.421875	  586	0.572266
210005	60985	-4.444336	  331	0.323242
210235	60974	-4.455078	   82	0.080078
210465	60976	-4.453125	65375	-0.157227
210695	60989	-4.440430	65139	-0.387695
210925	61014	-4.416016	64909	-0.612305
211155	61050	-4.380859	64683	-0.833008
211385	61098	-4.333984	64459	-1.051758
211615	61157	-4.276367	64235	-1.270508
211845	61227	-4.208008	64010	-1.490234
212075	61308	-4.128906	63783	-1.711914
212305	61400	-4.039062	63555	-1.934570
212535	61504	-3.937500	63327	-2.157227
212765	61619	-3.825195	63101	-2.377930
212995	61745	-3.702148	62880	-2.593750
213225	61882	-3.568359	62668	-2.800781
213455	62029	-3.424805	62467	-2.997070
213685	62186	-3.271484	62279	-3.180664
213915	62352	-3.109375	62105	-3.350586
214145	62527	-2.938477	61946	-3.505859
214375	62709	-2.760742	61802	-3.646484
214605	62898	-2.576172	61672	-3.773438
214835	63093	-2.385742	61556	-3.886719
215065	63293	-2.190430	61453	-3.987305
215295	63498	-1.990234	61362	-4.076172
215525	63707	-1.786133	61282	-4.154297
215755	63920	-1.578125	61213	-4.221680
215985	64136	-1.367188	61154	-4.279297
216215	64355	-1.153320	61104	-4.328125
216445	64576	-0.937500	61063	-4.368164
216675	64799	-0.719727	61031	-4.399414
216905	65024	-0.500000	61008	-4.421875
217135	65249	-0.280273	60993	-4.436523
217365	65475	-0.059570	60987	-4.442383
217595	  165	0.161133	60990	-4.439453
217825	  391	0.381836	61001	-4.428711
218055	  616	0.601562	61022	-4.408203
218285	  840	0.820312	61052	-4.378906
218515	 1062	1.037109	61092	-4.339844
218745	 1282	1.251953	61142	-4.291016
218975	 1499	1.463867	61202	-4.232422
219205	 1713	1.672852	61273	-4.163086
219435	 1923	1.877930	61356	-4.082031
219665	 2128	2.078125	61452	-3.988281
219895	 2328	2.273438	61561	-3.881836
220125	 2523	2.463867	61683	-3.762695
220355	 2711	2.647461	61820	-3.628906
220585	 2892	2.824219	61971	-3.481445
220815	 3065	2.993164	62136	-3.320312
221045	 3230	3.154297	62315	-3.145508
221275	 3385	3.305664	62506	-2.958984
221505	 3531	3.448242	62708	-2.761719
221735	 3666	3.580078	62918	-2.556641
221965	 3791	3.702148	63133	-2.346680
222195	 3905	3.813477	63350	-2.134766
222425	 4008	3.914062	63567	-1.922852
222655	 4100	4.003906	63782	-1.712891
222885	 4182	4.083984	63994	-1.505859
223115	 4253	4.153320	64204	-1.300781
223345	 4314	4.212891	64413	-1.096680
223575	 4364	4.261719	64622	-0.892578
223805	 4404	4.300781	64833	-0.686523
224035	 4433	4.329102	65048	-0.476562
224265	 4451	4.346680	65269	-0.260742
224495	 4458	4.353516	65496	-0.039062
224725	 4454	4.349609	  193	0.188477
224955	 4438	4.333984	  431	0.420898
225185	 4410	4.306641	  671	0.655273
225415	 4370	4.267578	  911	0.889648
225645	 4318	4.216797	 1147	1.120117
225875	 4255	4.155273	 1376	1.343750
226105	 4180	4.082031	 1596	1.558594
226335	 4095	3.999023	 1806	1.763672
226565	 3999	3.905273	 2005	1.958008
226795	 3894	3.802734	 2194	2.142578
227025	 3780	3.691406	 2373	2.317383
227255	 3657	3.571289	 2545	2.485352
227485	 3526	3.443359	 2710	2.646484
227715	 3386	3.306641	 2871	2.803711
227945	 3239	3.163086	 3028	2.957031
228175	 3084	3.011719	 3182	3.107422
228405	 2921	2.852539	 3334	3.255859
228635	 2751	2.686523	 3483	3.401367
228865	 2573	2.512695	 3630	3.544922
229095	 2388	2.332031	 3773	3.684570
229325	 2196	2.144531	 3911	3.819336
229555	 1997	1.950195	 4043	3.948242
229785	 1792	1.750000	 4166	4.068359
230015	 1581	1.543945	 4280	4.179688
230245	 1365	1.333008	 4382	4.279297
230475	 1144	1.117188	 4472	4.367188
230705	  919	0.897461	 4548	4.441406
230935	  690	0.673828	 4609	4.500977
231165	  459	0.448242	 4655	4.545898
231395	  226	0.220703	 4685	4.575195
231625	65528	-0.007812	 4699	4.588867
231855	65293	-0.237305	 4698	4.587891
232085	65059	-0.465820	 4681	4.571289
232315	64826	-0.693359	 4649	4.540039
232545	64595	-0.918945	 4602	4.494141
232775	64367	-1.141602	 4541	4.434570
233005	64142	-1.361328	 4467	4.362305
233235	63921	-1.577148	 4381	4.278320
233465	63705	-1.788086	 4284	4.183594
233695	63494	-1.994141	 4178	4.080078
233925	63288	-2.195312	 4064	3.968750
234155	63088	-2.390625	 3943	3.850586
234385	62894	-2.580078	 3817	3.727539
234615	62707	-2.762695	 3686	3.599609
234845	62526	-2.939453	 3551	3.467773
235075	62352	-3.109375	 3413	3.333008
235305	62185	-3.272461	 3272	3.195312
235535	62025	-3.428711	 3127	3.053711
235765	61872	-3.578125	 2978	2.908203
235995	61727	-3.719727	 2824	2.757812
236225	61590	-3.853516	 2664	2.601562
236455	61461	-3.979492	 2496	2.437500
236685	61340	-4.097656	 2319	2.264648
236915	61229	-4.206055	 2131	2.081055
237145	61127	-4.305664	 1932	1.886719
237375	61035	-4.395508	 1721	1.680664
237605	60954	-4.474609	 1499	1.463867
237835	60884	-4.542969	 1268	1.238281
238065	60826	-4.599609	 1029	1.004883
238295	60780	-4.644531	  786	0.767578
238525	60746	-4.677734	  542	0.529297
238755	60725	-4.698242	  300	0.292969
238985	60716	-4.707031	   63	0.061523
239215	60718	-4.705078	65367	-0.165039
239445	60732	-4.691406	65141	-0.385742
239675	60757	-4.666992	64920	-0.601562
239905	60793	-4.631836	64702	-0.814453
240135	60839	-4.586914	64485	-1.026367
240365	60896	-4.531250	64267	-1.239258
240595	60964	-4.464844	64048	-1.453125
240825	61043	-4.387695	63826	-1.669922
241055	61133	-4.299805	63601	-1.889648
241285	61234	-4.201172	63375	-2.110352
241515	61347	-4.090820	63150	-2.330078
241745	61471	-3.969727	62929	-2.545898
241975	61606	-3.837891	62715	-2.754883
242205	61751	-3.696289	62511	-2.954102
242435	61906	-3.544922	62319	-3.141602
242665	62070	-3.384766	62141	-3.315430
242895	62243	-3.215820	61977	-3.475586
243125	62424	-3.039062	61828	-3.621094
243355	62612	-2.855469	61693	-3.752930
243585	62806	-2.666016	61571	-3.872070
243815	63006	-2.470703	61462	-3.978516
244045	63211	-2.270508	61364	-4.074219
244275	63421	-2.065430	61277	-4.159180
244505	63635	-1.856445	61200	-4.234375
244735	63852	-1.644531	61133	-4.299805
244965	64072	-1.429688	61075	-4.356445
245195	64295	-1.211914	61025	-4.405273
245425	64520	-0.992188	60983	-4.446289
245655	64747	-0.770508	60950	-4.478516
245885	64976	-0.546875	60924	-4.503906
246115	65206	-0.322266	60906	-4.521484
246345	65436	-0.097656	60896	-4.531250
246575	  131	0.127930	60895	-4.532227
246805	  362	0.353516	60902	-4.525391
247035	  592	0.578125	60917	-4.510742
247265	  821	0.801758	60941	-4.487305
247495	 1049	1.024414	60974	-4.455078
247725	 1275	1.245117	61017	-4.413086
247955	 1498	1.462891	61070	-4.361328
248185	 1718	1.677734	61133	-4.299805
248415	 1935	1.889648	61207	-4.227539
248645	 2148	2.097656	61292	-4.144531
248875	 2357	2.301758	61390	-4.048828
249105	 2560	2.500000	61501	-3.940430
249335	 2758	2.693359	61626	-3.818359
249565	 2949	2.879883	61765	-3.682617
249795	 3133	3.059570	61919	-3.532227
250025	 3309	3.231445	62087	-3.368164
250255	 3476	3.394531	62270	-3.189453
250485	 3633	3.547852	62466	-2.998047
250715	 3780	3.691406	62673	-2.795898
250945	 3917	3.825195	62889	-2.584961
251175	 4043	3.948242	63110	-2.369141
251405	 4158	4.060547	63334	-2.150391
251635	 4262	4.162109	63559	-1.930664
251865	 4354	4.251953	63782	-1.712891
252095	 4435	4.331055	64003	-1.497070
252325	 4505	4.399414	64222	-1.283203
252555	 4565	4.458008	64440	-1.070312
252785	 4614	4.505859	64658	-0.857422
253015	 4652	4.542969	64879	-0.641602
253245	 4679	4.569336	65105	-0.420898
253475	 4694	4.583984	65336	-0.195312
253705	 4698	4.587891	   38	0.037109
253935	 4690	4.580078	  282	0.275391
254165	 4669	4.559570	  530	0.517578
254395	 4636	4.527344	  780	0.761719
254625	 4590	4.482422	 1028	1.003906
254855	 4532	4.425781	 1270	1.240234
255085	 4462	4.357422	 1504	1.468750
255315	 4381	4.278320	 1729	1.688477
255545	 4289	4.188477	 1943	1.897461
255775	 4187	4.088867	 2146	2.095703
256005	 4075	3.979492	 2340	2.285156
256235	 3953	3.860352	 2526	2.466797
256465	 3822	3.732422	 2705	2.641602
256695	 3682	3.595703	 2880	2.812500
256925	 3534	3.451172	 3051	2.979492
257155	 3377	3.297852	 3219	3.143555
257385	 3212	3.136719	 3385	3.305664
257615	 3039	2.967773	 3549	3.465820
257845	 2858	2.791016	 3710	3.623047
258075	 2669	2.606445	 3866	3.775391
258305	 2472	2.414062	 4017	3.922852
258535	 2268	2.214844	 4160	4.062500
258765	 2057	2.008789	 4294	4.193359
258995	 1839	1.795898	 4416	4.312500
259225	 1616	1.578125	 4525	4.418945
259455	 1388	1.355469	 4620	4.511719
259685	 1155	1.127930	 4700	4.589844
259915	  919	0.897461	 4764	4.652344
260145	  680	0.664062	 4811	4.698242
260375	  439	0.428711	 4841	4.727539
260605	  197	0.192383	 4854	4.740234
260835	65491	-0.043945	 4850	4.736328
261065	65249	-0.280273	 4830	4.716797
261295	65009	-0.514648	 4794	4.681641
261525	64771	-0.747070	 4742	4.630859
261755	64536	-0.976562	 4675	4.565430
261985	64305	-1.202148	 4594	4.486328
262215	64078	-1.423828	 4500	4.394531
262445	63856	-1.640625	 4395	4.291992
262675	63639	-1.852539	 4279	4.178711
262905	63428	-2.058594	 4155	4.057617
263135	63224	-2.257812	 4024	3.929688
263365	63026	-2.451172	 3887	3.795898
263595	62835	-2.637695	 3746	3.658203
263825	62651	-2.817383	 3602	3.517578
264055	62475	-2.989258	 3455	3.374023
264285	62306	-3.154297	 3305	3.227539
264515	62145	-3.311523	 3152	3.078125
264745	61991	-3.461914	 2996	2.925781
264975	61845	-3.604492	 2836	2.769531
265205	61707	-3.739258	 2670	2.607422
265435	61578	-3.865234	 2497	2.438477
265665	61458	-3.982422	 2315	2.260742
265895	61347	-4.090820	 2123	2.073242
266125	61246	-4.189453	 1920	1.875000
266355	61155	-4.278320	 1706	1.666016
266585	61075	-4.356445	 1482	1.447266
266815	61006	-4.423828	 1248	1.218750
267045	60949	-4.479492	 1008	0.984375
267275	60904	-4.523438	  764	0.746094
267505	60872	-4.554688	  520	0.507812
267735	60852	-4.574219	  279	0.272461
267965	60844	-4.582031	   43	0.041992
268195	60847	-4.579102	65349	-0.182617
268425	60861	-4.565430	65124	-0.402344
268655	60887	-4.540039	64904	-0.617188
268885	60923	-4.504883	64687	-0.829102
269115	60970	-4.458984	64472	-1.039062
269345	61028	-4.402344	64256	-1.250000
269575	61097	-4.334961	64039	-1.461914
269805	61176	-4.257812	63819	-1.676758
270035	61266	-4.169922	63597	-1.893555
270265	61368	-4.070312	63374	-2.111328
270495	61481	-3.959961	63152	-2.328125
270725	61605	-3.838867	62934	-2.541016
270955	61739	-3.708008	62724	-2.746094
271185	61884	-3.566406	62523	-2.942383
271415	62038	-3.416016	62334	-3.126953
271645	62202	-3.255859	62159	-3.297852
271875	62374	-3.087891	61999	-3.454102
272105	62553	-2.913086	61853	-3.596680
272335	62739	-2.731445	61721	-3.725586
272565	62932	-2.542969	61603	-3.840820
272795	63130	-2.349609	61498	-3.943359
273025	63333	-2.151367	61405	-4.034180
273255	63540	-1.949219	61323	-4.114258
273485	63751	-1.743164	61252	-4.183594
273715	63966	-1.533203	61191	-4.243164
273945	64183	-1.321289	61139	-4.293945
274175	64403	-1.106445	61096	-4.335938
274405	64625	-0.889648	61062	-4.369141
274635	64848	-0.671875	61037	-4.393555
274865	65072	-0.453125	61020	-4.410156
275095	65297	-0.233398	61012	-4.417969
275325	65522	-0.013672	61012	-4.417969
275555	  211	0.206055	61021	-4.409180
275785	  435	0.424805	61039	-4.391602
276015	  658	0.642578	61066	-4.365234
276245	  879	0.858398	61103	-4.329102
276475	 1098	1.072266	61150	-4.283203
276705	 1315	1.284180	61207	-4.227539
276935	 1529	1.493164	61275	-4.161133
277165	 1739	1.698242	61354	-4.083984
277395	 1945	1.899414	61446	-3.994141
277625	 2146	2.095703	61550	-3.892578
277855	 2341	2.286133	61668	-3.777344
278085	 2530	2.470703	61800	-3.648438
278315	 2712	2.648438	61946	-3.505859
278545	 2886	2.818359	62106	-3.349609
278775	 3052	2.980469	62279	-3.180664
279005	 3209	3.133789	62465	-2.999023
279235	 3357	3.278320	62661	-2.807617
279465	 3495	3.413086	62866	-2.607422
279695	 3622	3.537109	63076	-2.402344
279925	 3739	3.651367	63289	-2.194336
280155	 3845	3.754883	63503	-1.985352
280385	 3940	3.847656	63715	-1.778320
280615	 4025	3.930664	63924	-1.574219
280845	 4100	4.003906	64131	-1.372070
281075	 4164	4.066406	64336	-1.171875
281305	 4218	4.119141	64540	-0.972656
281535	 4262	4.162109	64746	-0.771484
281765	 4296	4.195312	64955	-0.567383
281995	 4319	4.217773	65169	-0.358398
282225	 4331	4.229492	65388	-0.144531
282455	 4332	4.230469	   78	0.076172
282685	 4322	4.220703	  309	0.301758
282915	 4300	4.199219	  544	0.531250
283145	 4267	4.166992	  780	0.761719
283375	 4222	4.123047	 1014	0.990234
283605	 4165	4.067383	 1243	1.213867
283835	 4097	4.000977	 1464	1.429688
284065	 4018	3.923828	 1675	1.635742
284295	 3929	3.836914	 1875	1.831055
284525	 3830	3.740234	 2064	2.015625
284755	 3722	3.634766	 2243	2.190430
284985	 3605	3.520508	 2414	2.357422
285215	 3480	3.398438	 2577	2.516602
285445	 3347	3.268555	 2734	2.669922
285675	 3206	3.130859	 2886	2.818359
285905	 3058	2.986328	 3035	2.963867
286135	 2903	2.834961	 3181	3.106445
286365	 2740	2.675781	 3325	3.247070
286595	 2570	2.509766	 3466	3.384766
286825	 2393	2.336914	 3604	3.519531
287055	 2210	2.158203	 3739	3.651367
287285	 2020	1.972656	 3869	3.778320
287515	 1824	1.781250	 3993	3.899414
287745	 1622	1.583984	 4109	4.012695
287975	 1414	1.380859	 4216	4.117188
288205	 1201	1.172852	 4313	4.211914
288435	  983	0.959961	 4398	4.294922
288665	  762	0.744141	 4470	4.365234
288895	  537	0.524414	 4528	4.421875
289125	  310	0.302734	 4572	4.464844
289355	   81	0.079102	 4601	4.493164
289585	65387	-0.145508	 4615	4.506836
289815	65157	-0.370117	 4614	4.505859
290045	64927	-0.594727	 4598	4.490234
290275	64698	-0.818359	 4567	4.459961
290505	64471	-1.040039	 4522	4.416016
290735	64247	-1.258789	 4464	4.359375
290965	64026	-1.474609	 4393	4.290039
291195	63809	-1.686523	 4311	4.209961
291425	63596	-1.894531	 4219	4.120117
291655	63388	-2.097656	 4117	4.020508
291885	63185	-2.295898	 4008	3.914062
292115	62988	-2.488281	 3892	3.800781
292345	62797	-2.674805	 3771	3.682617
292575	62612	-2.855469	 3645	3.559570
292805	62433	-3.030273	 3515	3.432617
293035	62261	-3.198242	 3382	3.302734
293265	62095	-3.360352	 3245	3.168945
293495	61936	-3.515625	 3104	3.031250
293725	61784	-3.664062	 2958	2.888672
293955	61640	-3.804688	 2807	2.741211
294185	61504	-3.937500	 2649	2.586914
294415	61376	-4.062500	 2483	2.424805
294645	61256	-4.179688	 2307	2.252930
294875	61145	-4.288086	 2120	2.070312
295105	61044	-4.386719	 1922	1.876953
295335	60953	-4.475586	 1712	1.671875
295565	60873	-4.553711	 1490	1.455078
295795	60804	-4.621094	 1258	1.228516
296025	60747	-4.676758	 1019	0.995117
296255	60702	-4.720703	  776	0.757812
296485	60669	-4.752930	  532	0.519531
296715	60648	-4.773438	  290	0.283203
296945	60639	-4.782227	   52	0.050781
297175	60642	-4.779297	65356	-0.175781
297405	60656	-4.765625	65129	-0.397461
297635	60681	-4.741211	64907	-0.614258
297865	60717	-4.706055	64688	-0.828125
298095	60764	-4.660156	64470	-1.041016
298325	60822	-4.603516	64251	-1.254883
298555	60891	-4.536133	64030	-1.470703
298785	60971	-4.458008	63806	-1.689453
299015	61062	-4.369141	63580	-1.910156
299245	61165	-4.268555	63353	-2.131836
299475	61279	-4.157227	63127	-2.352539
299705	61404	-4.035156	62905	-2.569336
299935	61540	-3.902344	62690	-2.779297
300165	61686	-3.759766	62485	-2.979492
300395	61842	-3.607422	62292	-3.167969
300625	62008	-3.445312	62113	-3.342773
300855	62182	-3.275391	61948	-3.503906
301085	62364	-3.097656	61798	-3.650391
301315	62553	-2.913086	61661	-3.784180
301545	62749	-2.721680	61538	-3.904297
301775	62951	-2.524414	61427	-4.012695
302005	63158	-2.322266	61327	-4.110352
302235	63369	-2.116211	61238	-4.197266
302465	63585	-1.905273	61159	-4.274414
302695	63804	-1.691406	61089	-4.342773
302925	64027	-1.473633	61027	-4.403320
303155	64252	-1.253906	60974	-4.455078
303385	64480	-1.031250	60929	-4.499023
303615	64710	-0.806641	60891	-4.536133
303845	64942	-0.580078	60861	-4.565430
304075	65175	-0.352539	60839	-4.586914
304305	65409	-0.124023	60824	-4.601562
304535	  107	0.104492	60817	-4.608398
304765	  342	0.333984	60818	-4.607422
304995	  576	0.562500	60827	-4.598633
