Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
34975	61135	-4.297852	 1064	1.039062
35205	61088	-4.343750	  814	0.794922
35435	61053	-4.377930	  564	0.550781
35665	61031	-4.399414	  317	0.309570
35895	61021	-4.409180	   75	0.073242
36125	61023	-4.407227	65376	-0.156250
36355	61036	-4.394531	65147	-0.379883
36585	61061	-4.370117	64924	-0.597656
36815	61096	-4.335938	64705	-0.811523
37045	61142	-4.291016	64488	-1.023438
37275	61199	-4.235352	64271	-1.235352
37505	61267	-4.168945	64053	-1.448242
37735	61346	-4.091797	63833	-1.663086
37965	61436	-4.003906	63611	-1.879883
38195	61537	-3.905273	63389	-2.096680
38425	61649	-3.795898	63168	-2.312500
38655	61772	-3.675781	62951	-2.524414
38885	61906	-3.544922	62742	-2.728516
39115	62050	-3.404297	62542	-2.923828
39345	62203	-3.254883	62355	-3.106445
39575	62365	-3.096680	62182	-3.275391
39805	62536	-2.929688	62023	-3.430664
40035	62714	-2.755859	61879	-3.571289
40265	62899	-2.575195	61750	-3.697266
40495	63090	-2.388672	61635	-3.809570
40725	63286	-2.197266	61533	-3.909180
40955	63487	-2.000977	61443	-3.997070
41185	63692	-1.800781	61365	-4.073242
41415	63901	-1.596680	61298	-4.138672
41645	64113	-1.389648	61242	-4.193359
41875	64328	-1.179688	61196	-4.238281
42105	64545	-0.967773	61159	-4.274414
42335	64763	-0.754883	61132	-4.300781
42565	64982	-0.541016	61114	-4.318359
42795	65202	-0.326172	61105	-4.327148
43025	65422	-0.111328	61105	-4.327148
43255	  106	0.103516	61115	-4.317383
43485	  325	0.317383	61134	-4.298828
43715	  543	0.530273	61163	-4.270508
43945	  759	0.741211	61202	-4.232422
44175	  973	0.950195	61251	-4.184570
44405	 1185	1.157227	61311	-4.125977
44635	 1393	1.360352	61382	-4.056641
44865	 1597	1.559570	61465	-3.975586
45095	 1797	1.754883	61561	-3.881836
45325	 1992	1.945312	61670	-3.775391
45555	 2181	2.129883	61792	-3.656250
45785	 2364	2.308594	61928	-3.523438
46015	 2540	2.480469	62078	-3.376953
46245	 2708	2.644531	62241	-3.217773
46475	 2867	2.799805	62416	-3.046875
46705	 3017	2.946289	62602	-2.865234
46935	 3158	3.083984	62797	-2.674805
47165	 3289	3.211914	62998	-2.478516
47395	 3410	3.330078	63202	-2.279297
47625	 3521	3.438477	63407	-2.079102
47855	 3621	3.536133	63611	-1.879883
48085	 3711	3.624023	63813	-1.682617
48315	 3791	3.702148	64012	-1.488281
48545	 3861	3.770508	64208	-1.296875
48775	 3922	3.830078	64403	-1.106445
49005	 3973	3.879883	64598	-0.916016
49235	 4014	3.919922	64794	-0.724609
